StoreCode	Name	Address	City	State	CountryCode	PostalCode	MainPhone	HomePage	Hours	Categories	Description	Latitude	Longitude	c:ohSummer	c:ohHoliday	c:currencies	c:summerTime	c:summerTime2	c:ohSummer2	DescriptionEN
MB114	Revetal	Revetal Torvet	REVETAL	VESTFOLD	NO	3174		https://www.dnb.no		ATM		59.37170028	10.26469039			NOK, EUR (D&oslash;gn&aring;pen)				<br/> <br/> <br/> <br/> <br/> <br/> <br/> 
MB161	Rikshospitalet	Sognsvannsvn. 20	OSLO	OSLO	NO	0027		https://www.dnb.no		ATM		59.947942	10.7157021			NOK (D&oslash;gn&aring;pen)				<br/> <br/> <br/> <br/> <br/> <br/> <br/> 
MB172	RIMI, Hunndalen	Raufossveien 223	HUNNDALEN	OPPLAND	NO	2827		https://www.dnb.no		ATM		60.7859368	10.6418602			NOK (D&oslash;gn&aring;pen)				<br/> <br/> <br/> <br/> <br/> <br/> <br/> 
MB19	R&aring;dal	Laguneveien 7	R&Aring;DAL	HORDALAND	NO	5239		https://www.dnb.no		ATM		60.295373	5.326475			NOK, EUR (D&oslash;gn&aring;pen)				<br/> <br/> <br/> <br/> <br/> <br/> <br/> 
MB111	R&aring;holt	Gladbakkveien 2c	R&Aring;HOLT	AKERSHUS	NO	2071		https://www.dnb.no		ATM		60.2812168	11.1727072			NOK, EUR (D&oslash;gn&aring;pen)				<br/> <br/> <br/> <br/> <br/> <br/> <br/> 
MB44	Sandnes	Langgata 2d		ROGALAND	NO	4306		https://www.dnb.no		ATM		58.850556	5.731838			NOK, EUR, USD (D&oslash;gn&aring;pen)				<br/> <br/> <br/> <br/> <br/> <br/> <br/> 
MB46	Sandvika	Leif Tronstads plass 6	SANDVIKA	AKERSHUS	NO	1337		https://www.dnb.no		ATM		59.8929147	10.5237718			NOK, EUR (D&oslash;gn&aring;pen)				<br/> <br/> <br/> <br/> <br/> <br/> <br/> 
MB47	Sarpsborg	Torggata 6	SARPSBORG	&Oslash;STFOLD	NO	1707		https://www.dnb.no	2:09:00:15:30,3:09:00:15:30,4:09:00:15:30,5:09:00:15:30,6:09:00:15:30	ATM		59.28418731	11.11247634	2:09:00:15:30,3:09:00:15:30,4:09:00:15:30,5:09:00:15:30,6:09:00:15:30		NOK, DKK, EUR, GBP, USD				<br/> <br/> <br/> <br/> <br/> <br/> <br/> 
MB48	Sarpsborg	Torggata 6	SARPSBORG	&Oslash;STFOLD	NO	1707		https://www.dnb.no		ATM		59.2841885	11.1124768			NOK, SEK (D&oslash;gn&aring;pen)				<br/> <br/> <br/> <br/> <br/> <br/> <br/> 
MB78	Sotra	Bild&oslash;yvegen 11	STRAUME	HORDALAND	NO	5353		https://www.dnb.no		ATM		60.357692	5.122825			NOK, EUR (D&oslash;gn&aring;pen)				<br/> <br/> <br/> <br/> <br/> <br/> <br/> 
MB56	Skedsmo Senter		SKEDSMOKORSET	AKERSHUS	NO	2020		https://www.dnb.no		ATM		60.0012004	11.0401374			NOK (D&oslash;gn&aring;pen)				<br/> <br/> <br/> <br/> <br/> <br/> <br/> 
MB72	Ski	Jernbaneveien 4	SKI	AKERSHUS	NO	1400		https://www.dnb.no	2:09:00:15:30,3:09:00:15:30,4:09:00:15:30,5:09:00:15:30,6:09:00:15:30	ATM		59.719966	10.836311	2:09:00:15:30,3:09:00:15:30,4:09:00:15:30,5:09:00:15:30,6:09:00:15:30		NOK, EUR				<br/> <br/> <br/> <br/> <br/> <br/> <br/> 
MB74	Skien	Hesselbergsgate 4	SKIEN	TELEMARK	NO	3717		https://www.dnb.no		ATM		59.209245	9.6067109			NOK, EUR (D&oslash;gn&aring;pen)				<br/> <br/> <br/> <br/> <br/> <br/> <br/> 
MB27	Solheimsviken	Solheimsgaten 7C	BERGEN	HORDALAND	NO	5058		https://www.dnb.no		ATM		60.376878	5.337446			NOK, GBP, EUR (D&oslash;gn&aring;pen)				<br/><br/> <br/> <br/> <br/> <br/> <br/> <br/> <br/> 
MB218	Sortland	Strandgaten 25	SORTLAND	NORDLAND	NO	8405		https://www.dnb.no		ATM		68.694390	15.415726			NOK, EUR (D&oslash;gn&aring;pen)				<br/><br/> <br/> <br/> <br/> <br/> <br/> <br/> <br/> 
